Make,Model,BatterySizekWH,AccelerationSEC,TopSpeedKMPH,RangeKM,EfficiencyWHPKM,FastChargeSpeedKMPH,Drive,NumberofSeats,PriceinGermanyEuro,PriceinUKPounds
Lucid, Air Dream Edition P,118 ,2.7 ,270 ,645 ,183 ,820 ,All Wheel Drive,5,218000,
Porsche, Taycan Turbo S,83.7 ,2.8 ,260 ,400 ,209 ,980 ,All Wheel Drive,4,189668,142400
Audi, e-tron GT RS,85 ,3.3 ,250 ,405 ,210 ,1000 ,All Wheel Drive,4,146050,115000
Renault, Zoe ZE50 R110,52 ,11.4 ,135 ,315 ,165 ,230 ,Front Wheel Drive,5,36840,
Audi, Q4 e-tron 35,52 ,9.0 ,160 ,285 ,182 ,360 ,Rear Wheel Drive,5,,
Tesla, Model Y Performance,75 ,3.7 ,250 ,415 ,181 ,640 ,All Wheel Drive,5,63667,59990
Porsche, Taycan 4 Cross Turismo,83.7 ,5.1 ,220 ,425 ,197 ,1050 ,All Wheel Drive,4,98514,84500
Renault, Zoe ZE50 R135,52 ,9.5 ,140 ,310 ,168 ,230 ,Front Wheel Drive,5,37840,29995
Porsche, Taycan Turbo,83.7 ,3.2 ,260 ,415 ,202 ,1020 ,All Wheel Drive,4,156348,119900
Smart, EQ fortwo coupe,16.7 ,11.6 ,130 ,100 ,167 , ,Rear Wheel Drive,2,21940,
Smart, EQ fortwo cabrio,16.7 ,11.9 ,130 ,95 ,176 , ,Rear Wheel Drive,2,25200,
Honda, e Advance,28.5 ,8.3 ,145 ,170 ,168 ,180 ,Rear Wheel Drive,4,39900,36920
Porsche, Taycan 4S,71 ,4.0 ,250 ,395 ,180 ,970 ,All Wheel Drive,4,108867,86500
Porsche, Taycan 4S Plus,83.7 ,4.0 ,250 ,460 ,182 ,1130 ,All Wheel Drive,4,114389,90406
Mercedes, EQV 300 Long,90 ,12.1 ,160 ,305 ,295 ,310 ,Front Wheel Drive,7,71626,83530
Lexus, UX 300e,45 ,7.5 ,160 ,235 ,191 ,150 ,Front Wheel Drive,5,47550,
BMW, i4 eDrive40,80.7 ,5.7 ,190 ,470 ,172 ,730 ,Rear Wheel Drive,5,59200,57890
Renault, Twingo Electric,21.3 ,12.6 ,135 ,130 ,164 , ,Rear Wheel Drive,4,28000,
Fiat, 500e Cabrio 42 kWh,37.3 ,9.0 ,150 ,230 ,162 ,380 ,Front Wheel Drive,4,37990,33645
Skoda, Enyaq iV 60,58 ,8.7 ,160 ,325 ,178 ,440 ,Rear Wheel Drive,5,,38970
Skoda, Enyaq iV 80,77 ,8.6 ,160 ,420 ,183 ,530 ,Rear Wheel Drive,5,48900,42925
Skoda, Enyaq iV 80x,77 ,6.9 ,160 ,400 ,193 ,500 ,All Wheel Drive,5,,51765
Skoda, Enyaq iV RS,77 ,6.2 ,180 ,390 ,197 ,540 ,All Wheel Drive,5,63300,
Fiat, 500e Hatchback 42 kWh,37.3 ,9.0 ,150 ,235 ,159 ,390 ,Front Wheel Drive,4,34990,30645
Audi, Q4 Sportback e-tron 35,52 ,9.0 ,160 ,295 ,176 ,370 ,Rear Wheel Drive,5,,
Nissan, Ariya 63kWh,63 ,7.5 ,160 ,320 ,197 ,430 ,Front Wheel Drive,5,47490,46145
Nissan, Ariya 87kWh,87 ,7.6 ,160 ,435 ,200 ,520 ,Front Wheel Drive,5,58990,51895
Nissan, Ariya e-4ORCE 87kWh - 225 kW,87 ,5.7 ,200 ,420 ,207 ,500 ,All Wheel Drive,5,61990,54595
Nissan, Ariya e-4ORCE 87kWh - 290 kW,87 ,5.1 ,200 ,420 ,207 ,500 ,All Wheel Drive,5,71490,
Volkswagen, ID.4 Pro Performance,77 ,8.5 ,160 ,410 ,188 ,520 ,Rear Wheel Drive,5,46335,46035
Mercedes, EQV 300 Extra-Long,90 ,12.1 ,160 ,305 ,295 ,310 ,Front Wheel Drive,7,72519,
Lucid, Air Grand Touring,112 ,3.2 ,270 ,665 ,168 ,840 ,All Wheel Drive,5,174500,
Lucid, Air Touring,88 ,3.4 ,250 ,550 ,160 ,960 ,All Wheel Drive,5,120000,
Lucid, Air Pure,88 ,4.2 ,200 ,560 ,157 ,980 ,Rear Wheel Drive,5,100000,
Fiat, 500e Hatchback 24 kWh,21.3 ,9.0 ,135 ,135 ,158 ,230 ,Front Wheel Drive,4,30990,
